SAS NAGAR (MOHALI),2024-12-31,0.0
SAS NAGAR (MOHALI),2025-01-01,0.0
ASHOKNAGAR,2024-12-18,nan
ASHOKNAGAR,2024-12-19,0.0
ASHOKNAGAR,2024-12-20,0.0
ASHOKNAGAR,2024-12-21,0.0
ASHOKNAGAR,2024-12-22,0.0
ASHOKNAGAR,2024-12-23,1.0
ASHOKNAGAR,2024-12-24,2.0
ASHOKNAGAR,2024-12-25,1.0
ASHOKNAGAR,2024-12-28,4.0
ASHOKNAGAR,2024-12-29,1.0
ASHOKNAGAR,2024-12-30,0.0
ASHOKNAGAR,2024-12-31,0.0
ASHOKNAGAR,2025-01-01,0.0
GUNA,2024-12-18,nan
GUNA,2024-12-19,0.0
GUNA,2024-12-20,0.0
GUNA,2024-12-21,0.0
GUNA,2024-12-22,0.0
GUNA,2024-12-23,1.0
GUNA,2024-12-24,2.0
GUNA,2024-12-25,1.0
GUNA,2024-12-28,4.0
GUNA,2024-12-29,1.0
GUNA,2024-12-30,0.0
GUNA,2024-12-31,0.0
GUNA,2025-01-01,0.0
DAMOH,2024-12-18,nan
DAMOH,2024-12-19,1.0
DAMOH,2024-12-20,0.0
DAMOH,2024-12-21,0.0
DAMOH,2024-12-22,0.0
DAMOH,2024-12-23,2.0
DAMOH,2024-12-24,2.0
DAMOH,2024-12-25,1.0
DAMOH,2024-12-28,3.0
DAMOH,2024-12-29,1.0
DAMOH,2024-12-30,1.0
DAMOH,2024-12-31,0.0
DAMOH,2025-01-01,0.0
JABALPUR,2024-12-18,nan
JABALPUR,2024-12-19,1.0
JABALPUR,2024-12-20,0.0
JABALPUR,2024-12-21,0.0
JABALPUR,2024-12-22,0.0
JABALPUR,2024-12-23,2.0
JABALPUR,2024-12-24,2.0
JABALPUR,2024-12-25,1.0
JABALPUR,2024-12-28,3.0
JABALPUR,2024-12-29,1.0
JABALPUR,2024-12-30,1.0
JABALPUR,2024-12-31,0.0
JABALPUR,2025-01-01,0.0
BOKARO,2024-12-18,nan
BOKARO,2024-12-19,1.0
BOKARO,2024-12-20,2.0
BOKARO,2024-12-21,2.0
BOKARO,2024-12-22,0.0
BOKARO,2024-12-23,0.0
BOKARO,2024-12-24,0.0
BOKARO,2024-12-25,0.0
BOKARO,2024-12-28,1.0
BOKARO,2024-12-29,0.0
BOKARO,2024-12-30,1.0
BOKARO,2024-12-31,1.0
BOKARO,2025-01-01,1.0
HAZARIBAG,2024-12-18,nan
HAZARIBAG,2024-12-19,1.0
HAZARIBAG,2024-12-20,2.0
HAZARIBAG,2024-12-21,2.0
HAZARIBAG,2024-12-22,0.0
HAZARIBAG,2024-12-23,0.0
HAZARIBAG,2024-12-24,0.0
HAZARIBAG,2024-12-25,0.0
HAZARIBAG,2024-12-28,1.0
HAZARIBAG,2024-12-29,0.0
HAZARIBAG,2024-12-30,1.0
HAZARIBAG,2024-12-31,1.0
HAZARIBAG,2025-01-01,1.0
KHUNTI,2024-12-18,nan
KHUNTI,2024-12-19,1.0
KHUNTI,2024-12-20,2.0
KHUNTI,2024-12-21,2.0
KHUNTI,2024-12-22,0.0
KHUNTI,2024-12-23,0.0
KHUNTI,2024-12-24,0.0
KHUNTI,2024-12-25,0.0
KHUNTI,2024-12-28,1.0
KHUNTI,2024-12-29,0.0
KHUNTI,2024-12-30,1.0
KHUNTI,2024-12-31,1.0
KHUNTI,2025-01-01,1.0
